,country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
22,ASEAN (Ember),2022,,,,,,,,,39.73,3.264,,508.204,,,,,,502.69,,,,,41.304,,1217.05,1217.05,,,,,,,,,880.43,,,72.341,,,,,,359.65,,,,,,29.551,,618.51,,,,,218.34,,17.94,,,,,,336.62,,27.659,,,,,,,,0.0,,0.0,,,,,,18.09,,,,,,1.486,,,68.09,28.36,,,,,,5.595,2.33,,,,,,,,336.62,,27.659,,,,,,37.84,,3.109,,,,,,12.35,,1.015,
267,Africa,2022,,1426736614.0,,1.068,0.012,0.786,1.122,,,,0.02,,-4.847,-56.216,773.498,1103.578,165.696,236.405,1.193,19.653,1168.08,1666.542,26.481,19.613,,892.734,16.918,0.255,14.327,3943.844,,0.108,5.441,469.737,670.19,3545.31,5058.223,75.072,89.895,-3.542,-59.667,1625.038,254.588,363.229,1138.99,-3.87,-100.236,1744.956,2489.593,40.687,28.88,,2.866,9.931,408.593,109.846,156.721,286.383,17.555,7.262,1.905,8.885,568.603,152.505,217.584,398.534,24.373,10.105,,,-18.252,-5.755,25.268,7.079,10.1,17.71,1.131,0.449,5.494,121.324,2329.607,49.453,70.556,1632.822,-3.772,-151.501,2708.899,3864.885,7.903,41.402,23.925,8.688,,7.109,1.463,6.089,,16.769,0.973,,0.425,625.718,5626.826,3.137,14.64,543.335,145.426,207.484,380.824,23.241,9.656,1.54,0.548,47.402,12.743,18.181,33.224,2.037,0.842,4.888,2.686,62.294,16.747,23.894,43.662,2.676,1.107
325,Africa (EI),2022,,,,1.068,0.012,,1.122,,,,0.02,,-4.847,-56.216,,1103.578,,236.405,1.193,19.653,,1666.542,26.481,19.613,,892.734,16.918,0.255,14.326,,,0.108,5.44,,670.19,,5058.223,75.072,89.895,-3.542,-59.667,1625.038,,363.229,,-3.87,-100.236,,2489.593,40.687,28.88,,2.866,9.931,408.593,,156.721,,17.555,7.262,1.905,8.885,568.603,,217.584,,24.373,10.105,,,-18.252,-5.755,25.268,,10.1,,1.131,0.449,5.494,121.324,2329.607,,70.556,,-3.772,-151.501,,3864.885,7.903,41.402,23.925,8.688,,7.109,1.463,,,,0.973,,0.425,,5626.826,3.137,14.64,543.335,,207.484,,23.241,9.656,1.54,0.548,47.402,,18.181,,2.037,0.842,4.888,2.686,62.294,,23.894,,2.676,1.107
751,Algeria,2022,DZA,44903228.0,,,,,,,,,,,-51.791,-1.608,33.338,1.497,,,,,,,,0.219,,91.643,13.405,-2.588,-18.199,15252.127,,-2.626,-18.415,,,15207.475,682.865,,99.707,-7.183,-34.265,442.75,,,9860.092,-2.891,-29.231,21863.684,981.75,,64.647,,725.591,0.176,0.2,1.71,0.077,4.458,0.084,0.029,12.467,0.216,2.005,17.127,0.769,44.652,0.839,0.293,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.894,17.459,238.618,,,5314.044,9.363,63.377,16485.305,740.243,,34.841,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,2040.895,684.87,12.467,0.216,2.005,17.127,0.769,44.652,0.839,0.293,2.676,0.04,1.777,15.183,0.682,39.584,0.744,0.26,0.0,-0.0,0.027,0.234,0.01,0.61,0.011,0.004
916,Angola,2022,AGO,35588996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.139,7.566,18878.906,671.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Argentina,2022,ARG,45510324.0,,33.704,3.512,306.113,13.931,47.681,2.17,1.51,1.392,344.307,2.465,0.346,316.387,14.399,47.022,2.14,0.0,,,,1.489,1.438,155.49,143.68,15.606,3.656,35.302,21994.422,,2.708,22.519,1998.667,90.96,18765.236,854.012,63.307,85.318,-0.547,-2.511,456.83,1669.951,76.0,10037.938,7.727,29.833,9138.986,415.918,52.895,45.639,49.47,21.587,10.871,62.283,574.595,26.15,1368.55,18.2,6.222,12.323,12.782,146.961,1158.418,52.72,3229.188,36.693,14.682,11.81,7.595,-26.555,-6.849,18.687,164.139,7.47,410.6,5.199,1.867,6.893,24.684,382.783,281.694,12.82,8410.91,12.797,43.285,8383.651,381.543,8.923,38.241,7.473,2.17,0.0,3.872,0.279,47.681,0.0,164.199,1.51,0.0,0.747,3157.086,1000.973,20.654,19.632,128.275,994.28,45.25,2818.588,31.494,12.815,33.373,1.895,7.659,63.942,2.91,168.291,2.025,0.765,9.483,3.075,36.929,308.062,14.02,811.435,9.758,3.689
1312,Asia,2022,,4721383370.0,,8.683,17.534,46.484,219.47,,,,0.243,,2.224,801.852,7804.669,36848.836,1737.539,8203.587,10.431,3345.779,7502.481,35422.09,50.594,40.778,,16214.564,19.637,2.346,2071.789,19139.609,,1.368,1046.914,2395.735,11311.182,16428.768,77566.508,69.759,85.836,-1.797,-292.482,15983.315,564.629,2665.83,3385.303,1.164,165.359,3044.3,14373.307,16.441,17.687,,2.568,111.808,5207.568,423.06,1997.43,1102.975,12.319,5.763,8.99,1024.876,12798.926,1013.41,4784.696,2710.842,29.509,14.164,,,5.088,86.269,1919.821,162.532,767.377,406.623,4.733,2.125,2.222,537.547,24734.361,93.567,441.765,5238.795,6.718,1393.684,4689.291,22139.939,2.724,27.371,1142.141,366.762,,10.78,112.3,77.681,,241.908,2.262,,1.264,3434.283,90365.438,9.728,938.606,10879.104,850.877,4017.319,2304.22,24.776,12.039,25.42,388.45,1944.585,157.977,745.871,411.868,4.6,2.152,15.42,308.514,2365.34,192.159,907.256,500.985,5.595,2.618
1377,Asia (Ember),2022,,,,,,,,,317.86,2.2,,534.889,,,,,,8086.3,,,,,55.964,,14449.16,14449.16,,,,,,,,,9888.54,,,68.437,,,,,,1599.59,,,,,,11.07,,7728.7,,,,,1905.32,,13.186,,,,,,4560.62,,31.563,,,,,,,,732.44,,5.069,,,,,,202.65,,,,,,1.403,,,347.41,29.55,,,,,,2.404,0.205,,,,,,,,3828.18,,26.494,,,,,,707.86,,4.899,,,,,,867.59,,6.004,
1435,Asia Pacific (EI),2022,,,,8.565,17.254,,218.709,,,,0.284,,2.129,755.59,,36249.672,,8120.102,9.198,3186.98,,37834.746,55.822,47.01,,14546.45,20.922,2.119,1600.008,,,0.953,610.555,,9736.238,,64657.879,66.932,83.852,-2.305,-213.984,9070.784,,1473.894,,1.116,75.223,,6812.729,10.132,11.763,,2.672,111.906,4983.443,,1911.464,,13.14,6.463,8.91,989.444,12451.865,,4651.892,,31.98,16.148,,,3.322,52.807,1845.975,,737.86,,5.072,2.394,0.358,68.949,19337.424,,142.242,,-0.905,-36.688,,4019.159,0.978,25.078,1117.35,358.469,,10.439,106.575,,,,2.464,,1.449,,77109.75,9.971,936.637,10605.89,,3914.032,,26.907,13.754,25.748,391.091,1937.567,,743.179,,5.109,2.513,15.616,309.812,2348.822,,900.921,,6.193,3.046
1675,Australia,2022,AUS,26177410.0,,7.797,0.096,50.855,1.331,124.153,3.25,1.188,0.08,501.7,-4.791,-21.677,16455.543,430.763,5001.641,130.93,-3.607,-119.137,121618.289,3183.652,47.863,25.931,273.55,273.55,18.077,4.307,68.598,63458.84,,2.44,33.845,6978.918,182.69,54286.039,1421.068,66.785,85.545,4.305,17.179,416.264,1768.319,46.29,15901.653,3.1,45.942,58376.801,1528.153,16.922,25.058,137.24,7.404,2.925,44.642,653.999,17.12,1705.37,6.258,2.687,17.427,34.753,240.12,3470.932,90.86,9172.805,33.215,14.455,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.158,38.344,574.04,208.959,5.47,21928.844,-5.033,-10.782,7771.708,203.443,2.0,34.556,10.361,3.246,,-2.939,-0.314,123.991,,395.806,1.187,,0.624,10449.849,1661.188,17.427,34.753,240.12,3470.932,90.86,9172.805,33.215,14.455,24.515,19.64,101.264,1483.722,38.84,3868.36,14.199,6.096,18.124,12.406,82.522,1209.058,31.65,3152.414,11.57,4.968
